customer_id,age,annual_income,credit_score,loan_amount,debt_to_income_ratio,employment_type,loan_purpose,region,num_monthly_transactions,avg_transaction_value,account_age_months,fraud_risk_score,default_probability,loan_approved,signup_date
CUST00297,41,71713.19,746,133062.26,0.33,Salaried,Business,West,77,6631.94,178,0.435,0.246,1,2024-01-24
CUST00300,23,110425.51,734,370269.11,0.39,Salaried,Medical,East,183,11584.06,107,0.168,0.244,1,2023-11-23
CUST00308,43,114871.38,642,432171.34,0.4,Salaried,Vehicle,Central,112,7772.51,138,0.346,0.379,1,2025-03-07
CUST00313,35,68436.09,709,358747.43,0.62,Self-Employed,Education,West,160,10489.4,86,0.239,0.482,0,2021-12-16
CUST00319,37,54975.48,800,332929.55,0.28,Self-Employed,Medical,East,219,9120.64,62,0.352,0.122,1,2025-02-07
CUST00320,32,120232.66,662,139116.64,0.18,Freelancer,Medical,West,63,2862.05,138,0.475,0.242,1,2025-03-25
CUST00328,45,87496.6,568,464450.14,0.65,Student,Education,East,187,9316.05,149,0.351,0.668,0,2023-01-08
CUST00329,32,103521.39,678,233277.62,0.66,Student,Medical,East,18,894.89,55,0.436,0.427,0,2025-07-11
CUST00347,56,22824.32,633,51419.38,0.37,Student,Business,East,223,696.88,111,0.308,0.319,1,2022-07-15
CUST00371,23,75356.1,553,367085.75,0.67,Salaried,Vehicle,North,49,12563.83,103,0.399,0.55,0,2025-12-10
CUST00372,36,111611.36,635,267990.54,0.49,Freelancer,Medical,North,225,6033.59,151,0.433,0.403,1,2024-06-01
CUST00383,33,108216.02,705,381279.66,0.15,Salaried,Medical,East,152,11035.19,16,0.271,0.083,1,2023-03-19
CUST00412,28,102647.51,634,272438.05,0.1,Self-Employed,Personal,North,287,8932.29,157,0.414,0.202,1,2021-10-14
CUST00437,24,53381.95,583,280915.46,0.51,Salaried,Personal,North,265,8512.4,13,0.506,0.529,0,2025-11-16
CUST00440,51,72617.26,713,69705.08,0.49,Salaried,Home Improvement,Central,17,6479.94,99,0.39,0.373,1,2023-06-18
CUST00452,22,80058.17,723,374449.63,0.25,Salaried,Business,South,73,13818.3,170,0.28,0.194,1,2025-09-14
CUST00494,31,81257.38,744,69987.55,0.25,Freelancer,Vehicle,East,252,13641.51,143,0.357,0.237,1,2023-01-07
CUST00500,54,60296.14,793,306064.63,0.34,Salaried,Personal,East,211,4446.23,96,0.158,0.106,1,2024-06-09
CUST00514,56,55176.31,734,434252.79,0.67,Salaried,Education,North,85,13250.97,69,0.181,0.386,0,2021-09-12
CUST00522,54,78627.02,627,371092.68,0.19,Salaried,Vehicle,West,48,10339.13,160,0.398,0.331,1,2025-12-12
CUST00523,23,79476.64,715,63915.55,0.09,Freelancer,Personal,East,97,5282.55,4,0.422,0.239,1,2023-05-27
CUST00528,25,119781.63,691,91207.56,0.41,Salaried,Vehicle,East,120,7829.34,41,0.16,0.31,1,2022-07-23
CUST00543,27,47018.17,758,348462.27,0.25,Salaried,Vehicle,Central,77,12893.14,153,0.291,0.186,1,2023-03-02
CUST00544,23,34080.63,755,389562.41,0.1,Salaried,Education,North,86,12533.43,65,0.278,0.133,1,2022-03-15
CUST00549,56,77321.81,569,237184.57,0.1,Student,Home Improvement,East,290,1485.96,128,0.61,0.263,0,2022-08-24
CUST00550,42,117157.59,652,420809.32,0.4,Self-Employed,Medical,North,72,13863.6,169,0.319,0.402,1,2024-08-05
CUST00571,58,68162.64,765,490229.3,0.47,Freelancer,Education,North,260,9282.73,90,0.241,0.247,1,2025-02-20
CUST00579,25,94529.35,602,437470.63,0.13,Salaried,Education,South,267,6326.47,29,0.381,0.257,0,2025-01-04
CUST00585,53,77887.21,684,458953.01,0.43,Freelancer,Education,North,241,12802.89,46,0.345,0.319,1,2022-10-15
CUST00590,34,133450.29,661,473362.51,0.43,Salaried,Vehicle,West,185,10899.33,25,0.505,0.357,1,2025-09-23
CUST00591,41,72933.84,847,461971.12,0.06,Salaried,Medical,Central,155,5647.38,9,0.225,0.0,1,2024-10-21
CUST00602,53,65358.18,714,414299.58,0.42,Salaried,Business,Central,159,1030.42,32,0.212,0.191,1,2026-04-12
CUST00605,58,79240.79,850,11689.25,0.29,Freelancer,Medical,Central,83,12151.11,52,0.213,0.0,1,2021-09-10
CUST00618,25,86945.98,669,437713.62,0.51,Self-Employed,Vehicle,West,282,413.45,75,0.396,0.502,0,2021-10-27
CUST00622,32,81168.03,600,243834.06,0.45,Self-Employed,Education,Central,87,14559.53,176,0.374,0.398,0,2025-04-11
CUST00627,39,69473.36,627,429892.86,0.2,Self-Employed,Home Improvement,North,207,13900.28,157,0.487,0.214,1,2024-12-17
CUST00637,53,73088.87,619,306796.09,0.22,Self-Employed,Education,South,270,6802.08,159,0.487,0.324,0,2021-11-10
CUST00653,51,81303.89,780,93930.2,0.11,Self-Employed,Education,Central,24,12132.29,100,0.234,0.076,1,2022-08-30
CUST00661,23,106486.99,673,379163.76,0.36,Student,Home Improvement,West,35,12119.95,19,0.228,0.286,1,2025-10-06
CUST00663,32,57559.59,603,90514.87,0.3,Freelancer,Business,South,159,8014.9,84,0.413,0.357,0,2025-10-05
CUST00679,24,122506.71,761,280571.08,0.53,Student,Education,East,219,3941.38,124,0.143,0.188,0,2021-06-16
CUST00680,39,36993.35,755,47468.17,0.11,Freelancer,Business,South,56,11364.46,138,0.267,0.097,1,2025-12-27
CUST00688,48,87161.24,658,409836.08,0.28,Student,Vehicle,Central,153,11270.91,156,0.372,0.236,1,2022-11-20
CUST00693,47,117775.72,721,469163.78,0.64,Freelancer,Vehicle,Central,253,14603.57,90,0.364,0.284,0,2024-02-28
CUST00715,24,54564.8,705,270523.14,0.33,Self-Employed,Education,North,231,10186.95,60,0.246,0.26,1,2022-11-05
CUST00738,53,93470.58,782,180868.37,0.08,Student,Business,Central,179,197.23,9,0.264,0.057,1,2024-03-23
CUST00741,31,80826.07,622,457735.14,0.19,Student,Vehicle,East,32,8739.53,56,0.468,0.226,1,2026-05-22
CUST00742,46,51463.14,512,27984.66,0.06,Self-Employed,Personal,East,253,6742.1,174,0.783,0.358,0,2025-01-29
CUST00754,42,65013.36,690,31753.58,0.35,Student,Education,South,21,7737.5,163,0.309,0.428,1,2025-12-17
CUST00762,59,134798.0,618,20330.45,0.23,Self-Employed,Vehicle,Central,162,9101.55,3,0.41,0.28,0,2022-01-23
CUST00765,22,53236.14,625,230387.73,0.64,Salaried,Personal,Central,216,11058.01,17,0.255,0.43,0,2023-10-09
CUST00788,25,106176.84,749,229364.53,0.49,Student,Home Improvement,West,297,10050.31,124,0.234,0.273,1,2024-04-25
CUST00812,37,88017.24,593,357737.7,0.5,Student,Personal,Central,73,2312.91,99,0.357,0.327,0,2023-04-12
CUST00821,51,43942.24,543,5670.98,0.37,Freelancer,Education,North,286,12932.36,64,0.46,0.383,0,2021-11-12
CUST00827,30,70637.89,760,208986.34,0.07,Freelancer,Education,East,247,8357.13,15,0.457,0.1,1,2024-02-17
CUST00838,57,68334.67,601,89225.56,0.22,Student,Business,East,63,8387.92,53,0.492,0.303,0,2024-03-02
CUST00860,37,127948.09,630,341506.39,0.41,Student,Medical,Central,276,1539.17,165,0.458,0.274,1,2024-10-01
CUST00867,55,61800.15,788,254668.45,0.35,Salaried,Vehicle,East,198,4214.17,34,0.217,0.218,1,2022-08-07
CUST00880,29,99199.34,754,5026.15,0.67,Student,Medical,South,93,12493.2,10,0.404,0.311,0,2022-09-20
CUST00884,33,87008.38,657,464046.37,0.31,Student,Vehicle,South,74,6780.67,3,0.328,0.281,1,2021-08-11
CUST00900,28,88723.73,763,172869.75,0.1,Freelancer,Education,West,258,14979.4,103,0.37,0.041,1,2025-04-11
CUST00902,42,67877.38,634,31864.24,0.44,Student,Education,West,24,11333.67,13,0.361,0.337,1,2025-11-20
CUST00903,23,61880.77,711,417892.09,0.06,Freelancer,Medical,North,36,6084.63,58,0.429,0.095,1,2021-10-29
CUST00925,55,135971.42,746,104305.1,0.24,Student,Home Improvement,West,80,3814.5,175,0.305,0.097,1,2023-09-07
CUST00939,52,77578.05,541,288708.88,0.65,Student,Personal,North,253,4978.86,152,0.388,0.557,0,2022-11-28
CUST00948,32,99409.34,754,54619.48,0.52,Self-Employed,Home Improvement,South,286,12480.75,122,0.151,0.288,0,2022-06-26
CUST00974,35,78288.38,769,346369.69,0.36,Salaried,Education,North,298,10941.14,108,0.223,0.31,1,2022-03-30
CUST00975,37,112111.48,574,249923.21,0.6,Student,Business,South,40,300.0,149,0.293,0.51,0,2026-01-15
CUST00987,54,54754.65,688,396132.36,0.32,Self-Employed,Medical,North,53,3881.58,103,0.45,0.253,1,2026-02-11
CUST00999,49,68835.72,738,147140.37,0.38,Salaried,Business,West,296,5231.98,96,0.36,0.291,1,2024-05-15
